Patient	Stat	window	sput.val	cult.val
Patient 4	theta	3490000	6.6106e-05	8.9124e-05
Patient 4	td	3490000	-1.558093369	-1.674684806
Patient 4	pi	3500000	2.9723e-05	3.6205e-05
Patient 4	theta	3500000	6.9551e-05	8.9963e-05
Patient 4	td	3500000	-1.581230232	-1.67785111
Patient 4	pi	3510000	3.1092e-05	3.5458e-05
Patient 4	theta	3510000	7.3621e-05	8.555e-05
Patient 4	td	3510000	-1.602777983	-1.642888682
Patient 4	pi	3520000	3.1528e-05	3.4921e-05
Patient 4	theta	3520000	7.5951e-05	8.4363e-05
Patient 4	td	3520000	-1.625554248	-1.641722053
Patient 4	pi	3530000	1.7176e-05	1.9566e-05
Patient 4	theta	3530000	6.0085e-05	6.9182e-05
Patient 4	td	3530000	-1.99721599	-2.011900102
Patient 4	pi	3540000	1.9106e-05	2.1719e-05
Patient 4	theta	3540000	6.522e-05	7.6804e-05
Patient 4	td	3540000	-1.979996093	-2.014453556
Patient 4	pi	3550000	2.0175e-05	1.9449e-05
Patient 4	theta	3550000	6.9015e-05	6.877e-05
Patient 4	td	3550000	-1.983795911	-2.01279666
Patient 4	pi	3560000	1.9672e-05	2.1462e-05
Patient 4	theta	3560000	6.7261e-05	7.5896e-05
Patient 4	td	3560000	-1.982662119	-2.014414878
Patient 4	pi	3570000	2.01e-05	2.126e-05
Patient 4	theta	3570000	6.8968e-05	7.5215e-05
Patient 4	td	3570000	-1.986446684	-2.014652978
Patient 4	pi	3580000	2.1172e-05	2.0051e-05
Patient 4	theta	3580000	7.2804e-05	7.0955e-05
Patient 4	td	3580000	-1.989273691	-2.014299432
Patient 4	pi	3590000	1.8646e-05	1.899e-05
Patient 4	theta	3590000	6.3851e-05	6.72e-05
Patient 4	td	3590000	-1.982154213	-2.013345348
Patient 4	pi	3600000	1.7353e-05	1.8658e-05
Patient 4	theta	3600000	5.9582e-05	6.6026e-05
Patient 4	td	3600000	-1.98069724	-2.013118915
Patient 4	pi	3610000	1.6412e-05	1.8657e-05
Patient 4	theta	3610000	5.6178e-05	6.6022e-05
Patient 4	td	3610000	-1.974509608	-2.012638716
Patient 4	pi	3620000	1.6257e-05	1.9026e-05
Patient 4	theta	3620000	5.4818e-05	6.7327e-05
Patient 4	td	3620000	-1.962691588	-2.012388423
Patient 4	pi	3630000	1.8527e-05	1.8283e-05
Patient 4	theta	3630000	6.2894e-05	6.4698e-05
Patient 4	td	3630000	-1.974242162	-2.011589944
Patient 4	pi	3640000	1.6131e-05	1.7196e-05
Patient 4	theta	3640000	5.6189e-05	6.0847e-05
Patient 4	td	3640000	-1.991532177	-2.01035998
Patient 4	pi	3650000	2.0553e-05	1.9186e-05
Patient 4	theta	3650000	7.1825e-05	6.7888e-05
Patient 4	td	3650000	-2.000817961	-2.012681258
Patient 4	pi	3660000	2.015e-05	1.7952e-05
Patient 4	theta	3660000	7.0585e-05	6.3211e-05
Patient 4	td	3660000	-2.002530729	-2.007765092
Patient 4	pi	3670000	1.9542e-05	1.8144e-05
Patient 4	theta	3670000	6.8393e-05	6.3878e-05
Patient 4	td	3670000	-1.999404231	-2.006678139
Patient 4	pi	3680000	1.7397e-05	1.9658e-05
Patient 4	theta	3680000	6.0791e-05	6.9234e-05
Patient 4	td	3680000	-1.994691789	-2.007894128
Patient 4	pi	3690000	1.9048e-05	2.0687e-05
Patient 4	theta	3690000	6.6523e-05	7.2832e-05
Patient 4	td	3690000	-1.992419927	-2.005875041
Patient 4	pi	3700000	NA	NA
Patient 4	theta	3700000	NA	NA
Patient 4	td	3700000	NA	NA
Patient 4	pi	3710000	NA	NA
Patient 4	theta	3710000	NA	NA
Patient 4	td	3710000	NA	NA
Patient 4	pi	3720000	NA	NA
Patient 4	theta	3720000	NA	NA
Patient 4	td	3720000	NA	NA
Patient 4	pi	3730000	NA	NA
Patient 4	theta	3730000	NA	NA
Patient 4	td	3730000	NA	NA
Patient 4	pi	3740000	NA	NA
Patient 4	theta	3740000	NA	NA
Patient 4	td	3740000	NA	NA
Patient 4	pi	3750000	NA	NA
Patient 4	theta	3750000	NA	NA
Patient 4	td	3750000	NA	NA
Patient 4	pi	3760000	NA	NA
Patient 4	theta	3760000	NA	NA
Patient 4	td	3760000	NA	NA
Patient 4	pi	3770000	NA	NA
Patient 4	theta	3770000	NA	NA
Patient 4	td	3770000	NA	NA
Patient 4	pi	3780000	NA	NA
Patient 4	theta	3780000	NA	NA
Patient 4	td	3780000	NA	NA
Patient 4	pi	3790000	1.7275e-05	1.4926e-05
Patient 4	theta	3790000	6.0857e-05	5.2609e-05
Patient 4	td	3790000	-1.988078495	-1.988611108
Patient 4	pi	3800000	3.8418e-05	7.0143e-05
Patient 4	theta	3800000	8.2252e-05	9.0763e-05
Patient 4	td	3800000	-1.460993858	-0.61761996
Patient 4	pi	3810000	3.6294e-05	6.4989e-05
Patient 4	theta	3810000	8.0437e-05	9.0207e-05
Patient 4	td	3810000	-1.515203584	-0.770327385
Patient 4	pi	3820000	3.4821e-05	6.2152e-05
Patient 4	theta	3820000	7.9387e-05	9.2669e-05
Patient 4	td	3820000	-1.551542844	-0.912131154
Patient 4	pi	3830000	3.6003e-05	6.202e-05
Patient 4	theta	3830000	8.4028e-05	9.4271e-05
Patient 4	td	3830000	-1.58924361	-0.945884932
Patient 4	pi	3840000	3.537e-05	6.3479e-05
Patient 4	theta	3840000	8.242e-05	9.8544e-05
Patient 4	td	3840000	-1.591418921	-0.986593655
Patient 4	pi	3850000	3.5123e-05	6.5834e-05
Patient 4	theta	3850000	8.0909e-05	0.00010459
Patient 4	td	3850000	-1.579513334	-1.028689204
Patient 4	pi	3860000	3.3902e-05	6.4927e-05
Patient 4	theta	3860000	7.9109e-05	0.00010725
Patient 4	td	3860000	-1.596901623	-1.100037505
Patient 4	pi	3870000	3.3451e-05	6.5009e-05
Patient 4	theta	3870000	7.6908e-05	0.000105365
Patient 4	td	3870000	-1.576994685	-1.069380127
Patient 4	pi	3880000	3.5918e-05	7.2768e-05
Patient 4	theta	3880000	8.005e-05	0.000116677
Patient 4	td	3880000	-1.539251859	-1.049920319
Patient 4	pi	3890000	3.7624e-05	7.8739e-05
Patient 4	theta	3890000	8.1798e-05	0.000123675
Patient 4	td	3890000	-1.500552369	-1.006491539
Patient 4	pi	3900000	1.7247e-05	2.449e-05
Patient 4	theta	3900000	6.1026e-05	8.6663e-05
Patient 4	td	3900000	-1.995501271	-2.011568159
Patient 4	pi	3910000	1.6175e-05	2.2822e-05
Patient 4	theta	3910000	5.7007e-05	8.0758e-05
Patient 4	td	3910000	-1.989051411	-2.009829323
Patient 4	pi	3920000	1.5466e-05	1.9512e-05
Patient 4	theta	3920000	5.45e-05	6.9046e-05
Patient 4	td	3920000	-1.986862527	-2.004418075
Patient 4	pi	3930000	1.3478e-05	1.9022e-05
Patient 4	theta	3930000	4.7456e-05	6.7311e-05
Patient 4	td	3930000	-1.964819343	-2.001872727
Patient 4	pi	3940000	1.4633e-05	1.9553e-05
Patient 4	theta	3940000	5.1546e-05	6.919e-05
Patient 4	td	3940000	-1.982806642	-2.004562831
Patient 4	pi	3950000	1.5002e-05	2.0364e-05
Patient 4	theta	3950000	5.2854e-05	7.2061e-05
Patient 4	td	3950000	-1.986385907	-2.006759284
Patient 4	pi	3960000	1.6052e-05	2.2567e-05
Patient 4	theta	3960000	5.6568e-05	7.9849e-05
Patient 4	td	3960000	-1.986558468	-2.009304881
Patient 4	pi	3970000	1.7311e-05	2.2385e-05
Patient 4	theta	3970000	6.1006e-05	7.9208e-05
Patient 4	td	3970000	-1.992942122	-2.009665809
Patient 4	pi	3980000	1.7293e-05	2.2255e-05
Patient 4	theta	3980000	6.0974e-05	7.8746e-05
Patient 4	td	3980000	-2.000217434	-2.012536791
Patient 4	pi	3990000	1.9759e-05	2.2409e-05
Patient 4	theta	3990000	6.874e-05	7.925e-05
Patient 4	td	3990000	-1.994675071	-2.012923552
Patient 4	pi	4000000	1.9824e-05	2.1922e-05
Patient 4	theta	4000000	6.9089e-05	7.7533e-05
Patient 4	td	4000000	-1.99906909	-2.014247662
Patient 4	pi	4010000	2.0609e-05	2.3068e-05
Patient 4	theta	4010000	7.2038e-05	8.1585e-05
Patient 4	td	4010000	-2.001510474	-2.014967359
Patient 4	pi	4020000	2.0527e-05	2.4237e-05
Patient 4	theta	4020000	7.1718e-05	8.5722e-05
Patient 4	td	4020000	-2.000379629	-2.015264442
Patient 4	pi	4030000	2.0755e-05	2.4784e-05
Patient 4	theta	4030000	7.2532e-05	8.766e-05
Patient 4	td	4030000	-2.000937857	-2.015533597
Patient 4	pi	4040000	2.0508e-05	2.2432e-05
Patient 4	theta	4040000	7.1656e-05	7.9334e-05
Patient 4	td	4040000	-2.000387524	-2.014356965
Patient 4	pi	4050000	2.1812e-05	2.1094e-05
Patient 4	theta	4050000	7.6088e-05	7.4601e-05
Patient 4	td	4050000	-2.000017221	-2.01342927
Patient 4	pi	4060000	1.995e-05	1.8739e-05
Patient 4	theta	4060000	6.9519e-05	6.627e-05
Patient 4	td	4060000	-1.997964509	-2.010678239
Patient 4	pi	4070000	1.9645e-05	1.8213e-05
Patient 4	theta	4070000	6.8459e-05	6.441e-05
Patient 4	td	4070000	-1.99682709	-2.009449901
Patient 4	pi	4080000	1.9511e-05	1.753e-05
Patient 4	theta	4080000	6.7995e-05	6.1994e-05
Patient 4	td	4080000	-1.997404504	-2.010291506
Patient 4	pi	4090000	1.6097e-05	2.1859e-05
Patient 4	theta	4090000	5.6787e-05	6.2137e-05
Patient 4	td	4090000	-2.004403784	-1.811896934
Patient 4	pi	4100000	1.5023e-05	2.1842e-05
Patient 4	theta	4100000	5.2988e-05	6.2087e-05
Patient 4	td	4100000	-2.002295716	-1.81017305
Patient 4	pi	4110000	1.426e-05	2.1772e-05
Patient 4	theta	4110000	5.0294e-05	6.189e-05
Patient 4	td	4110000	-2.000582288	-1.811010234
Patient 4	pi	4120000	1.4395e-05	2.1356e-05
Patient 4	theta	4120000	5.0776e-05	6.0769e-05
Patient 4	td	4120000	-2.001432013	-1.812900604
Patient 4	pi	4130000	1.491e-05	2.0187e-05
Patient 4	theta	4130000	5.26e-05	5.7147e-05
Patient 4	td	4130000	-2.00382699	-1.802265455
Patient 4	pi	4140000	1.7568e-05	2.1337e-05
Patient 4	theta	4140000	6.1849e-05	6.1131e-05
Patient 4	td	4140000	-2.006597803	-1.819291804
Patient 4	pi	4150000	1.8258e-05	2.2171e-05
Patient 4	theta	4150000	6.4451e-05	6.4098e-05
Patient 4	td	4150000	-2.00954777	-1.830616635
Patient 4	pi	4160000	1.919e-05	2.1344e-05
Patient 4	theta	4160000	6.7751e-05	6.1152e-05
Patient 4	td	4160000	-2.010958591	-1.82263791
Patient 4	pi	4170000	2.0783e-05	2.1941e-05
Patient 4	theta	4170000	7.3375e-05	6.2921e-05
Patient 4	td	4170000	-2.011732215	-1.823300653
Patient 4	pi	4180000	2.1028e-05	2.1313e-05
Patient 4	theta	4180000	7.424e-05	6.0715e-05
Patient 4	td	4180000	-2.012038481	-1.816144349
Patient 4	pi	4190000	2.104e-05	1.5428e-05
Patient 4	theta	4190000	7.4285e-05	5.431e-05
Patient 4	td	4190000	-2.012060558	-2.005561115
Patient 4	pi	4200000	2.2643e-05	1.5283e-05
Patient 4	theta	4200000	7.9794e-05	5.3797e-05
Patient 4	td	4200000	-2.010872185	-2.005190555
Patient 4	pi	4210000	2.2421e-05	1.6e-05
Patient 4	theta	4210000	7.9001e-05	5.6329e-05
Patient 4	td	4210000	-2.010449867	-2.006077361
Patient 4	pi	4220000	2.1565e-05	1.7577e-05
Patient 4	theta	4220000	7.5972e-05	6.1908e-05
Patient 4	td	4220000	-2.009694668	-2.008493412
Patient 4	pi	4230000	2.0813e-05	1.7182e-05
Patient 4	theta	4230000	7.3308e-05	6.0509e-05
Patient 4	td	4230000	-2.009097324	-2.008034412
Patient 4	pi	4240000	1.7289e-05	1.6006e-05
Patient 4	theta	4240000	6.1003e-05	5.6201e-05
Patient 4	td	4240000	-2.006914744	-2.003357178
Patient 4	pi	4250000	1.5641e-05	1.5046e-05
Patient 4	theta	4250000	5.5175e-05	5.2811e-05
Patient 4	td	4250000	-2.005024009	-2.002670704
Patient 4	pi	4260000	1.5182e-05	1.539e-05
Patient 4	theta	4260000	5.3547e-05	5.402e-05
Patient 4	td	4260000	-2.003681899	-2.002759944
Patient 4	pi	4270000	1.5039e-05	1.3906e-05
Patient 4	theta	4270000	5.3055e-05	4.9062e-05
Patient 4	td	4270000	-2.003490651	-2.003674047
Patient 4	pi	4280000	1.4347e-05	1.5405e-05
Patient 4	theta	4280000	5.0288e-05	5.4363e-05
Patient 4	td	4280000	-1.997618262	-2.006420348
Patient 4	pi	4290000	1.4602e-05	1.5997e-05
Patient 4	theta	4290000	5.1194e-05	5.6456e-05
Patient 4	td	4290000	-1.998732133	-2.008005805
Patient 4	pi	4300000	1.4232e-05	1.6921e-05
Patient 4	theta	4300000	4.9588e-05	5.9725e-05
Patient 4	td	4300000	-1.99163218	-2.009098835
Patient 4	pi	4310000	1.4445e-05	1.6793e-05
Patient 4	theta	4310000	5.0341e-05	5.9268e-05
Patient 4	td	4310000	-1.991827687	-2.008448676
Patient 4	pi	4320000	1.5742e-05	1.6697e-05
Patient 4	theta	4320000	5.4925e-05	5.8928e-05
Patient 4	td	4320000	-1.995137113	-2.008242148
Patient 4	pi	4330000	1.5719e-05	1.8378e-05
Patient 4	theta	4330000	5.4843e-05	6.4864e-05
Patient 4	td	4330000	-1.994593275	-2.010549929
Patient 4	pi	4340000	1.6611e-05	1.8128e-05
Patient 4	theta	4340000	5.799e-05	6.4131e-05
Patient 4	td	4340000	-1.995865856	-2.011629943
Patient 4	pi	4350000	1.8083e-05	1.8883e-05
Patient 4	theta	4350000	6.3182e-05	6.6801e-05
Patient 4	td	4350000	-1.998877758	-2.01252083
Patient 4	pi	4360000	1.7886e-05	1.9266e-05
Patient 4	theta	4360000	6.2493e-05	6.8158e-05
Patient 4	td	4360000	-1.998832209	-2.013316073
Patient 4	pi	4370000	1.6889e-05	2.0508e-05
Patient 4	theta	4370000	5.889e-05	7.2552e-05
Patient 4	td	4370000	-1.99289227	-2.013048158
Patient 5	pi	50000	3.125e-05	1.5605e-05
Patient 5	theta	50000	6.6999e-05	3.6932e-05
Patient 5	td	50000	-1.477422149	-1.570869605
Patient 5	pi	60000	2.8418e-05	1.5922e-05
Patient 5	theta	60000	5.5226e-05	3.7465e-05
Patient 5	td	60000	-1.327803531	-1.568980127
Patient 5	pi	70000	2.773e-05	1.5167e-05
Patient 5	theta	70000	5.3145e-05	3.493e-05
Patient 5	td	70000	-1.295292875	-1.545914564
Patient 5	pi	80000	2.6105e-05	1.5137e-05
Patient 5	theta	80000	4.7186e-05	3.4861e-05
Patient 5	td	80000	-1.185428177	-1.554796927
Patient 5	pi	90000	1.1576e-05	8.784e-06
Patient 5	theta	90000	4.0938e-05	3.1085e-05
Patient 5	td	90000	-1.96925601	-1.98093247
Patient 5	pi	100000	1.1495e-05	9.981e-06
Patient 5	theta	100000	4.0653e-05	3.5321e-05
Patient 5	td	100000	-1.976022546	-1.990510062
Patient 5	pi	110000	1.2117e-05	9.884e-06
Patient 5	theta	110000	4.2878e-05	3.4976e-05
Patient 5	td	110000	-1.982353853	-1.988373916
Patient 5	pi	120000	1.2607e-05	7.929e-06
Patient 5	theta	120000	4.4612e-05	2.8058e-05
Patient 5	td	120000	-1.983024116	-1.969927451
Patient 5	pi	130000	1.1313e-05	6.847e-06
Patient 5	theta	130000	4.0033e-05	2.423e-05
Patient 5	td	130000	-1.969403062	-1.946424322
Patient 5	pi	140000	1.3459e-05	6.974e-06
Patient 5	theta	140000	4.7206e-05	2.4679e-05
Patient 5	td	140000	-1.980777429	-1.944949277
Patient 5	pi	150000	1.2698e-05	7.705e-06
Patient 5	theta	150000	4.4528e-05	2.7264e-05
Patient 5	td	150000	-1.980178883	-1.961647626
Patient 5	pi	160000	1.3146e-05	7.28e-06
Patient 5	theta	160000	4.6134e-05	2.576e-05
Patient 5	td	160000	-1.984918997	-1.959804815
Patient 5	pi	170000	1.5072e-05	7.185e-06
Patient 5	theta	170000	5.2943e-05	2.5426e-05
Patient 5	td	170000	-1.992007821	-1.954675061
Patient 5	pi	180000	1.5704e-05	6.631e-06
Patient 5	theta	180000	5.5185e-05	2.3467e-05
Patient 5	td	180000	-1.994800921	-1.950026742
Patient 5	pi	190000	1.3261e-05	6.809e-06
Patient 5	theta	190000	4.6544e-05	2.4096e-05
Patient 5	td	190000	-1.983614628	-1.936245301
Patient 5	pi	200000	1.3888e-05	5.668e-06
Patient 5	theta	200000	4.8762e-05	2.0058e-05
Patient 5	td	200000	-1.985497304	-1.916899257
Patient 5	pi	210000	1.2772e-05	6.139e-06
Patient 5	theta	210000	4.4817e-05	2.1724e-05
Patient 5	td	210000	-1.978446997	-1.922147619
Patient 5	pi	220000	1.2282e-05	6.955e-06
Patient 5	theta	220000	4.3089e-05	2.4611e-05
Patient 5	td	220000	-1.974545566	-1.947581299
Patient 5	pi	230000	1.2255e-05	7.336e-06
Patient 5	theta	230000	4.2995e-05	2.5959e-05
Patient 5	td	230000	-1.971175297	-1.964528806
Patient 5	pi	240000	8.62e-06	6.707e-06
Patient 5	theta	240000	3.0505e-05	2.3736e-05
Patient 5	td	240000	-1.927933271	-1.951670274
Patient 5	pi	250000	1.077e-05	5.452e-06
Patient 5	theta	250000	3.8111e-05	1.9293e-05
Patient 5	td	250000	-1.975171187	-1.92216473
Patient 5	pi	260000	1.0085e-05	7.117e-06
Patient 5	theta	260000	3.5686e-05	2.4755e-05
Patient 5	td	260000	-1.966667308	-1.944197036
Patient 5	pi	270000	1.0162e-05	7.391e-06
Patient 5	theta	270000	3.596e-05	2.5725e-05
Patient 5	td	270000	-1.963440595	-1.953902433
Patient 5	pi	280000	1.0283e-05	7.542e-06
Patient 5	theta	280000	3.639e-05	2.626e-05
Patient 5	td	280000	-1.965221425	-1.948298129
Patient 5	pi	290000	1.267e-05	6.772e-06
Patient 5	theta	290000	4.4834e-05	2.3506e-05
Patient 5	td	290000	-1.976980296	-1.928513112
Patient 5	pi	300000	1.1238e-05	7.83e-06
Patient 5	theta	300000	3.9768e-05	2.7239e-05
Patient 5	td	300000	-1.963395496	-1.950805659
Patient 5	pi	310000	1.2969e-05	7.523e-06
Patient 5	theta	310000	4.5894e-05	2.6145e-05
Patient 5	td	310000	-1.972976343	-1.946417912
Patient 5	pi	320000	1.3083e-05	6.792e-06
Patient 5	theta	320000	4.6296e-05	2.3526e-05
Patient 5	td	320000	-1.972496127	-1.915955735
Patient 5	pi	330000	1.4078e-05	6.387e-06
Patient 5	theta	330000	4.9818e-05	2.2059e-05
Patient 5	td	330000	-1.973969823	-1.888108272
Patient 5	pi	340000	1.4993e-05	7.649e-06
Patient 5	theta	340000	5.3056e-05	2.6528e-05
Patient 5	td	340000	-1.984593442	-1.927133648
Patient 5	pi	350000	1.4154e-05	7.701e-06
Patient 5	theta	350000	4.9372e-05	2.6706e-05
Patient 5	td	350000	-1.967398819	-1.927133648
Patient 5	pi	360000	1.8089e-05	6.88e-06
Patient 5	theta	360000	6.3292e-05	2.4344e-05
Patient 5	td	360000	-1.986741394	-1.924631626
Patient 5	pi	370000	1.8686e-05	6.119e-06
Patient 5	theta	370000	6.5439e-05	2.1653e-05
Patient 5	td	370000	-1.992435916	-1.896183405
Patient 5	pi	380000	2.1005e-05	5.57e-06
Patient 5	theta	380000	7.3592e-05	1.971e-05
Patient 5	td	380000	-1.994903712	-1.851992373
Patient 5	pi	390000	2.0308e-05	5.783e-06
Patient 5	theta	390000	7.114e-05	2.0465e-05
Patient 5	td	390000	-1.994486139	-1.881139998
Patient 5	pi	400000	2.3953e-05	5.768e-06
Patient 5	theta	400000	8.4038e-05	2.0413e-05
Patient 5	td	400000	-2.001495636	-1.874334771
Patient 5	pi	410000	2.3111e-05	6.314e-06
Patient 5	theta	410000	8.1051e-05	2.2342e-05
Patient 5	td	410000	-1.999637006	-1.905584038
Patient 5	pi	420000	2.3303e-05	5.64e-06
Patient 5	theta	420000	8.1753e-05	1.9958e-05
Patient 5	td	420000	-2.000936289	-1.892191125
Patient 5	pi	430000	2.2861e-05	5.582e-06
Patient 5	theta	430000	8.0202e-05	1.9752e-05
Patient 5	td	430000	-2.001116084	-1.899421618
Patient 5	pi	440000	2.2593e-05	6.542e-06
Patient 5	theta	440000	7.9261e-05	2.1089e-05
Patient 5	td	440000	-2.001630404	-1.845765715
Patient 5	pi	450000	2.1244e-05	8.186e-06
Patient 5	theta	450000	7.5175e-05	2.6918e-05
Patient 5	td	450000	-2.006568079	-1.904394534
Patient 5	pi	460000	1.99e-05	7.269e-06
Patient 5	theta	460000	7.0421e-05	2.3707e-05
Patient 5	td	460000	-2.004277243	-1.882126198
Patient 5	pi	470000	1.8864e-05	8.211e-06
Patient 5	theta	470000	6.6753e-05	2.7047e-05
Patient 5	td	470000	-1.997443773	-1.903972773
Patient 5	pi	480000	2.1092e-05	8.059e-06
Patient 5	theta	480000	7.4638e-05	2.6637e-05
Patient 5	td	480000	-2.005153808	-1.91090924
Patient 5	pi	490000	1.9172e-05	8.323e-06
Patient 5	theta	490000	6.7844e-05	2.763e-05
Patient 5	td	490000	-2.003071235	-1.917832562
Patient 5	pi	500000	2.4257e-05	1.04e-05
Patient 5	theta	500000	6.3529e-05	2.872e-05
Patient 5	td	500000	-1.719476227	-1.745341036
Patient 5	pi	510000	3.0594e-05	9.471e-06
Patient 5	theta	510000	8.7311e-05	2.5462e-05
Patient 5	td	510000	-1.817537742	-1.704576779
Patient 5	pi	520000	2.9157e-05	9.813e-06
Patient 5	theta	520000	8.2803e-05	2.6756e-05
Patient 5	td	520000	-1.812059595	-1.727176799
Patient 5	pi	530000	3.0134e-05	9.492e-06
Patient 5	theta	530000	8.6481e-05	2.5741e-05
Patient 5	td	530000	-1.825180217	-1.715595181
Patient 5	pi	540000	3.2361e-05	7.931e-06
Patient 5	theta	540000	9.3039e-05	2.1957e-05
Patient 5	td	540000	-1.827643357	-1.704724981
Patient 5	pi	550000	3.2241e-05	6.711e-06
Patient 5	theta	550000	9.3021e-05	1.7637e-05
Patient 5	td	550000	-1.83088095	-1.590391657
Patient 5	pi	560000	3.0724e-05	7.269e-06
Patient 5	theta	560000	8.7078e-05	1.9508e-05
Patient 5	td	560000	-1.811619311	-1.637668962
Patient 5	pi	570000	3.0511e-05	6.894e-06
Patient 5	theta	570000	8.6114e-05	1.8008e-05
Patient 5	td	570000	-1.808011976	-1.598591075
Patient 5	pi	580000	2.829e-05	7.19e-06
Patient 5	theta	580000	7.6261e-05	1.8417e-05
Patient 5	td	580000	-1.752817505	-1.571740591
Patient 5	pi	590000	3.1238e-05	7.003e-06
Patient 5	theta	590000	8.3815e-05	1.698e-05
Patient 5	td	590000	-1.748277141	-1.479207325
Patient 5	pi	600000	2.2997e-05	4.194e-06
Patient 5	theta	600000	8.1369e-05	1.466e-05
Patient 5	td	600000	-2.003161744	-1.744026427
Patient 5	pi	610000	1.4295e-05	4.85e-06
Patient 5	theta	610000	5.0584e-05	1.6981e-05
Patient 5	td	610000	-1.96586453	-1.776609808
Patient 5	pi	620000	NA	4.965e-06
Patient 5	theta	620000	NA	1.739e-05
Patient 5	td	620000	NA	-1.809725332
Patient 5	pi	630000	NA	5.678e-06
Patient 5	theta	630000	NA	1.9902e-05
Patient 5	td	630000	NA	-1.850501697
Patient 5	pi	640000	1.3381e-05	5.156e-06
Patient 5	theta	640000	4.735e-05	1.8059e-05
Patient 5	td	640000	-1.970726632	-1.837305616
Patient 5	pi	650000	NA	5.503e-06
Patient 5	theta	650000	NA	1.9286e-05
Patient 5	td	650000	NA	-1.855792876
Patient 5	pi	660000	NA	4.648e-06
Patient 5	theta	660000	NA	1.6257e-05
Patient 5	td	660000	NA	-1.806118892
Patient 5	pi	670000	NA	6.044e-06
Patient 5	theta	670000	NA	2.1388e-05
Patient 5	td	670000	NA	-1.881714307
Patient 5	pi	680000	1.0951e-05	6.534e-06
Patient 5	theta	680000	3.8753e-05	2.3121e-05
Patient 5	td	680000	-1.942489541	-1.919953021
Patient 5	pi	690000	1.3676e-05	6.563e-06
Patient 5	theta	690000	4.7505e-05	2.3224e-05
Patient 5	td	690000	-1.966610771	-1.947565215
Patient 5	pi	700000	1.3289e-05	6.172e-06
Patient 5	theta	700000	4.6095e-05	2.1842e-05
Patient 5	td	700000	-1.960414767	-1.931560673
Patient 5	pi	710000	1.2891e-05	5.916e-06
Patient 5	theta	710000	4.4686e-05	2.0937e-05
Patient 5	td	710000	-1.957370196	-1.915127565
Patient 5	pi	720000	4.1866e-05	7.061e-06
Patient 5	theta	720000	0.000120726	2.4987e-05
Patient 5	td	720000	-1.835815303	-1.954999891
Patient 5	pi	730000	4.1041e-05	6.923e-06
Patient 5	theta	730000	0.000118658	2.4498e-05
Patient 5	td	730000	-1.838814902	-1.952946682
Patient 5	pi	740000	5.185e-05	6.921e-06
Patient 5	theta	740000	0.000154451	2.4491e-05
Patient 5	td	740000	-1.868919711	-1.954126525
Patient 5	pi	750000	5.2704e-05	6.737e-06
Patient 5	theta	750000	0.000157741	2.3839e-05
Patient 5	td	750000	-1.873714648	-1.95519552
Patient 5	pi	760000	5.3313e-05	6.558e-06
Patient 5	theta	760000	0.000161711	2.3207e-05
Patient 5	td	760000	-1.886817351	-1.95519552
Patient 5	pi	770000	5.0353e-05	5.167e-06
Patient 5	theta	770000	0.000152909	1.8286e-05
Patient 5	td	770000	-1.887828729	-1.909467433
Patient 5	pi	780000	5.0085e-05	4.934e-06
Patient 5	theta	780000	0.000152831	1.7459e-05
Patient 5	td	780000	-1.892149002	-1.912770355
Patient 5	pi	790000	5.0963e-05	4.759e-06
Patient 5	theta	790000	0.000154348	1.684e-05
Patient 5	td	790000	-1.884775886	-1.887683508
Patient 5	pi	800000	5.0876e-05	5.261e-06
Patient 5	theta	800000	0.000154145	1.8618e-05
Patient 5	td	800000	-1.884853101	-1.913911248
Patient 5	pi	810000	5.2821e-05	6.721e-06
Patient 5	theta	810000	0.000161164	2.3314e-05
Patient 5	td	810000	-1.891944395	-1.934527185
Patient 5	pi	820000	2.6059e-05	5.591e-06
Patient 5	theta	820000	9.0096e-05	1.9316e-05
Patient 5	td	820000	-1.992151273	-1.902143307
Patient 5	pi	830000	2.5686e-05	5.792e-06
Patient 5	theta	830000	8.9251e-05	2.0026e-05
Patient 5	td	830000	-1.998522533	-1.889930589
Patient 5	pi	840000	2.2214e-05	7.423e-06
Patient 5	theta	840000	6.8988e-05	2.4696e-05
Patient 5	td	840000	-1.889890457	-1.888588439
Patient 5	pi	850000	2.1777e-05	7.845e-06
Patient 5	theta	850000	6.7199e-05	2.6163e-05
Patient 5	td	850000	-1.883917803	-1.897931002
Patient 5	pi	860000	1.988e-05	7.946e-06
Patient 5	theta	860000	6.0205e-05	2.6499e-05
Patient 5	td	860000	-1.865080758	-1.897931002
Patient 5	pi	870000	2.1294e-05	7.764e-06
Patient 5	theta	870000	6.5087e-05	2.5851e-05
Patient 5	td	870000	-1.875011975	-1.896390848
Patient 5	pi	880000	1.997e-05	7.749e-06
Patient 5	theta	880000	6.0208e-05	2.5691e-05
Patient 5	td	880000	-1.857064896	-1.877869003
Patient 5	pi	890000	2.0741e-05	8.476e-06
Patient 5	theta	890000	6.3637e-05	2.8365e-05
Patient 5	td	890000	-1.878697329	-1.901976959
Patient 5	pi	900000	2.1117e-05	7.459e-06
Patient 5	theta	900000	6.5606e-05	2.4855e-05
Patient 5	td	900000	-1.894534662	-1.892995134
Patient 5	pi	910000	1.9276e-05	5.708e-06
Patient 5	theta	910000	5.8803e-05	1.9128e-05
